Gene,total_variants,variants_with_any_failure,any_failure_rate,avg_predictors_failed,SIFT_failure_rate,PolyPhen_failure_rate,CADD_failure_rate,REVEL_failure_rate
SLC12A6,1,1,1.0,2.0,1.0,0.0,1.0,0.0
SLC12A7,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC12A8,2,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC13A1,3,2,0.6666666666666666,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0
SLC13A2,3,1,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
SLC13A5,3,1,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
SLC14A1,1,1,1.0,3.0,1.0,1.0,1.0,0.0
SLC14A2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC15A1,5,3,0.6,0.6,0.4,0.0,0.2,0.0
SLC15A2,4,4,1.0,2.5,0.5,0.75,1.0,0.25
SLC16A1,4,2,0.5,2.0,0.5,0.5,0.5,0.5
SLC16A6,2,2,1.0,1.5,0.5,0.0,1.0,0.0
SLC16A8,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC17A1,2,2,1.0,2.0,1.0,0.5,0.5,0.0
SLC17A3,2,1,0.5,1.5,0.5,0.5,0.5,0.0
SLC17A5,2,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC17A6,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC17A8,1,1,1.0,4.0,1.0,1.0,1.0,1.0
SLC17A9,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC18A1,5,3,0.6,1.8,0.4,0.4,0.6,0.4
SLC18A3,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC18B1,1,1,1.0,2.0,1.0,1.0,0.0,0.0
SLC19A1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC19A2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC19A3,2,1,0.5,1.5,0.5,0.5,0.0,0.5
SLC1A1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC1A4,2,0,0.0,0.0,0.0,0.0,0.0,0.0
